  0.000,  0.000,  0.000
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.566
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.117,  0.119,  1.564
  0.117,  0.119,  1.563
  0.117,  0.119,  1.564
  0.117,  0.118,  1.565
  0.117,  0.118,  1.565
  0.130,  0.119,  1.561
  0.164,  0.120,  1.550
  0.198,  0.122,  1.535
  0.233,  0.125,  1.520
  0.269,  0.130,  1.505
  0.303,  0.135,  1.498
  0.339,  0.139,  1.489
  0.374,  0.144,  1.478
  0.412,  0.150,  1.467
  0.447,  0.155,  1.457
  0.481,  0.161,  1.448
  0.515,  0.167,  1.445
  0.550,  0.173,  1.441
  0.586,  0.179,  1.444
  0.621,  0.186,  1.447
  0.656,  0.191,  1.451
  0.691,  0.196,  1.453
  0.725,  0.202,  1.458
  0.763,  0.208,  1.459
  0.797,  0.212,  1.463
  0.832,  0.217,  1.467
  0.868,  0.223,  1.468
  0.903,  0.228,  1.472
  0.938,  0.233,  1.478
  0.973,  0.238,  1.478
  1.008,  0.243,  1.477
  1.042,  0.248,  1.479
  1.082,  0.253,  1.483
  1.117,  0.257,  1.488
  1.153,  0.262,  1.494
  1.189,  0.266,  1.497
  1.224,  0.270,  1.498
  1.259,  0.274,  1.500
  1.293,  0.277,  1.505
  1.328,  0.281,  1.508
  1.363,  0.284,  1.514
  1.399,  0.288,  1.518
  1.438,  0.292,  1.523
  1.473,  0.295,  1.527
  1.508,  0.298,  1.531
  1.543,  0.301,  1.533
  1.578,  0.304,  1.535
  1.617,  0.307,  1.537
  1.655,  0.310,  1.540
  1.694,  0.313,  1.546
  1.737,  0.316,  1.551
  1.773,  0.318,  1.555
  1.806,  0.320,  1.559
  1.837,  0.322,  1.563
  1.867,  0.323,  1.565
  1.896,  0.325,  1.568
  1.927,  0.326,  1.571
  1.953,  0.328,  1.576
  1.979,  0.329,  1.580
  2.003,  0.330,  1.584
  2.027,  0.331,  1.589
  2.049,  0.331,  1.594
  2.070,  0.332,  1.597
  2.091,  0.333,  1.601
  2.111,  0.333,  1.606
  2.132,  0.333,  1.613
  2.151,  0.333,  1.619
  2.171,  0.333,  1.622
  2.191,  0.333,  1.627
  2.210,  0.333,  1.631
  2.230,  0.333,  1.635
  2.251,  0.333,  1.640
  2.271,  0.332,  1.643
  2.293,  0.332,  1.647
  2.312,  0.331,  1.654
  2.331,  0.331,  1.658
  2.350,  0.330,  1.661
  2.369,  0.328,  1.666
  2.388,  0.327,  1.672
  2.409,  0.326,  1.680
  2.429,  0.325,  1.683
  2.447,  0.325,  1.634
  2.464,  0.325,  1.584
  2.483,  0.326,  1.530
  2.500,  0.328,  1.480
  2.519,  0.331,  1.424
  2.537,  0.334,  1.372
  2.554,  0.338,  1.320
  2.571,  0.343,  1.265
  2.587,  0.349,  1.209
  2.603,  0.356,  1.159
  2.619,  0.364,  1.106
  2.634,  0.373,  1.055
  2.648,  0.382,  1.002
  2.662,  0.392,  0.951
  2.676,  0.405,  0.891
  2.689,  0.416,  0.838
  2.702,  0.428,  0.787
  2.715,  0.441,  0.732
  2.717,  0.443,  0.721
  2.738,  0.468,  0.621
  2.745,  0.476,  0.587
  2.757,  0.495,  0.514
  2.769,  0.516,  0.441
  2.773,  0.525,  0.414
  2.780,  0.543,  0.355
  2.786,  0.560,  0.302
  2.791,  0.579,  0.244
  2.796,  0.608,  0.156
  2.798,  0.644,  0.049
  2.798,  0.677,  6.239
  2.796,  0.706,  6.147
  2.789,  0.742,  6.039
  2.783,  0.769,  5.963
  2.767,  0.808,  5.835
  2.751,  0.838,  5.740
  2.731,  0.869,  5.627
  2.710,  0.895,  5.520
  2.689,  0.915,  5.432
  2.664,  0.935,  5.334
  2.633,  0.955,  5.226
  2.602,  0.970,  5.117
  2.572,  0.983,  5.020
  2.541,  0.993,  4.919
  2.505,  1.001,  4.821
  2.471,  1.004,  4.755
  2.437,  1.005,  4.696
  2.403,  1.005,  4.651
  2.369,  1.003,  4.610
  2.336,  0.999,  4.581
  2.302,  0.996,  4.555
  2.265,  0.991,  4.536
  2.230,  0.986,  4.519
  2.197,  0.979,  4.505
  2.162,  0.973,  4.496
  2.128,  0.966,  4.484
  2.095,  0.958,  4.478
  2.062,  0.952,  4.473
  2.030,  0.944,  4.467
  1.996,  0.937,  4.465
  1.959,  0.928,  4.466
  1.925,  0.921,  4.467
  1.892,  0.914,  4.477
  1.859,  0.905,  4.515
  1.827,  0.901,  2.116
  1.794,  0.891,  4.564
  1.790,  0.834,  1.102
  1.728,  0.880,  4.559
  1.695,  0.876,  4.525
  1.661,  0.871,  4.513
  1.625,  0.863,  4.499
  1.591,  0.857,  4.496
  1.558,  0.851,  4.496
  1.525,  0.845,  4.494
  1.491,  0.838,  4.487
  1.457,  0.832,  4.489
  1.418,  0.823,  4.488
  1.377,  0.813,  4.498
  1.344,  0.807,  4.498
  1.311,  0.800,  4.499
  1.279,  0.793,  4.499
  1.247,  0.787,  4.501
  1.217,  0.782,  4.494
